2020-02-24 15:42:48,696 ERROR b.p.s.u.BudgetPlannerImporter:37 [main] Invalid payment date
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-15T05:15:31, amount=3317.29, currency='EUR', detail='Quibusdam molestias voluptates ab magnam dolorem.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-01T16:34:27, amount=2791.97, currency='EUR', detail='Sit aliquam sit aut.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-02T17:25:52, amount=-3904.84, currency='EUR', detail='Recusandae cum exercitationem molestiae voluptatem.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-22T11:51:34, amount=4489.73, currency='EUR', detail='Dolor tempore nisi vel.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-30T19:56:39, amount=-4092.69, currency='EUR', detail='Distinctio repellat rerum eaque quo dolores.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-14T05:14:28, amount=-4186.14, currency='EUR', detail='Accusamus expedita distinctio quam expedita accusamus.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-16T16:08:03, amount=342.79, currency='EUR', detail='Quo quo accusamus sit dolor alias ad provident.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-08T13:06:30, amount=-808.53, currency='EUR', detail='Totam laboriosam ut sit consectetur ut vero fugiat.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-03T03:28:29, amount=-1221.35, currency='EUR', detail='Odit qui corporis.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-30T14:44:44, amount=3305.19, currency='EUR', detail='A eveniet sint illo consectetur ratione.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-10T02:27:56, amount=1919.2, currency='EUR', detail='Facilis nisi rerum.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-17T17:34:18, amount=4566.69, currency='EUR', detail='Nostrum qui aliquam.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-29T11:01:58, amount=4601.84, currency='EUR', detail='Et quasi sed doloremque eligendi dolor.'}]}
2020-02-24 15:42:48,759 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-06T00:42:20, amount=4421.29, currency='EUR', detail='Assumenda excepturi est.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-25T00:04:38, amount=709.5, currency='EUR', detail='Deleniti distinctio accusantium sequi quibusdam.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-04T20:51:28, amount=-2319.63, currency='EUR', detail='Corporis velit sint tenetur aliquam qui deleniti nam.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-14T02:38:01, amount=3471.42, currency='EUR', detail='Modi quas non.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-11T15:01:43, amount=-4162.21, currency='EUR', detail='Eos architecto rerum odio et.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T16:21:51, amount=-1074.05, currency='EUR', detail='Est illum consequuntur.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-14T19:37:33, amount=-1270.27, currency='EUR', detail='In accusamus explicabo debitis voluptas modi quasi pariatur.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-07T15:49:09, amount=-4515.2, currency='EUR', detail='Sunt cupiditate consequatur nihil sed molestiae nobis ullam.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-08T14:00:15, amount=750.16, currency='EUR', detail='Temporibus accusantium ducimus neque qui.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-25T06:42:28, amount=-339.75, currency='EUR', detail='Dolores officiis perferendis soluta nobis.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-09T00:42:52, amount=1483.27, currency='EUR', detail='Suscipit debitis vel esse et.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-03T17:31:15, amount=2228.18, currency='EUR', detail='Quaerat quia soluta sit nesciunt sint aperiam vero.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T06:47:39, amount=-2165.11, currency='EUR', detail='Quos velit et voluptas perferendis.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T17:45:51, amount=3736.98, currency='EUR', detail='Praesentium in reprehenderit ex minus quia quisquam.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-11T06:16:48, amount=298.87, currency='EUR', detail='Voluptates ex impedit non dolore.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T14:33:46, amount=-117.58, currency='EUR', detail='Illum quo fugiat qui quisquam.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-19T07:24:06, amount=-740.09, currency='EUR', detail='Possimus facere ut qui expedita ratione quia.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-16T04:35:58, amount=-4269.87, currency='EUR', detail='Molestias aut suscipit.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-02T20:37, amount=-1826.02, currency='EUR', detail='Provident eum iusto voluptatem aliquid.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-23T01:16:03, amount=-1041.41, currency='EUR', detail='Odio amet quia eum autem sapiente.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-10T08:47:40, amount=-1325.6, currency='EUR', detail='Ipsam eos ut autem et velit.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-19T06:23:28, amount=2876.97, currency='EUR', detail='Facilis dolor amet.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-05T07:18:16, amount=4554.92, currency='EUR', detail='Porro dolorem exercitationem eligendi odio ut.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-09T11:27:16, amount=-2849.91, currency='EUR', detail='Velit consequatur incidunt consequuntur omnis.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-07T03:17:11, amount=437.51, currency='EUR', detail='Placeat quis corporis quae fugit.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T19:55:04, amount=-1593.29, currency='EUR', detail='Repellat voluptatem magni.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-17T13:59:57, amount=-2978.04, currency='EUR', detail='Sed sunt excepturi qui temporibus aspernatur.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-05T22:30:14, amount=-4537.15, currency='EUR', detail='Sit voluptas ipsam enim.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-09T19:28:21, amount=263.56, currency='EUR', detail='Reiciendis id dolore dolorum molestiae libero.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-11T17:18:17, amount=-4328.09, currency='EUR', detail='Iusto quos voluptas.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-11T03:50:08, amount=3157.01, currency='EUR', detail='Expedita molestiae expedita labore et autem eaque.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T15:23:14, amount=-2122.36, currency='EUR', detail='Vel reiciendis dolor consequatur.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-24T11:50:30, amount=-1516.6, currency='EUR', detail='Nesciunt veritatis quam.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T00:01:49, amount=-832.14, currency='EUR', detail='Adipisci iusto non.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-01T08:49:52, amount=-2340.16, currency='EUR', detail='Voluptatem molestias id quasi ipsam qui a.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-11T19:23:28, amount=3226.38, currency='EUR', detail='Et iure debitis suscipit sed voluptatem.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-08T14:44:34, amount=-679.95, currency='EUR', detail='Ex animi omnis voluptatibus labore.'}]}
2020-02-24 15:42:48,774 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-14T18:45:28, amount=-1233.18, currency='EUR', detail='Qui itaque vitae veritatis maxime.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-14T06:15:09, amount=4290.86, currency='EUR', detail='Enim qui qui reiciendis nesciunt.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-13T19:53:18, amount=-3980.46, currency='EUR', detail='Adipisci reprehenderit eos rerum maiores magni aut necessitatibus.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-19T02:16:44, amount=593.74, currency='EUR', detail='Blanditiis expedita fuga reiciendis veniam ea.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T02:02:31, amount=-2276.29, currency='EUR', detail='Commodi dolore consectetur iure tempore velit.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-14T14:33, amount=3435.54, currency='EUR', detail='Quia veniam reprehenderit error qui ea.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-16T04:11:48, amount=-42.95, currency='EUR', detail='Aut quia aliquid.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-05T04:19:38, amount=-3427.3, currency='EUR', detail='Ut architecto ex.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-16T00:47:38, amount=312.25, currency='EUR', detail='Eos tempora placeat corrupti odio enim qui.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-14T19:11:06, amount=-1252.64, currency='EUR', detail='Illo ullam accusantium.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T10:01:39, amount=-611.96, currency='EUR', detail='Veritatis unde ad et.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-02T13:55:25, amount=-213.09, currency='EUR', detail='Expedita beatae aut eum fugiat inventore.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T23:10:37, amount=-4093.93, currency='EUR', detail='Ipsam est nihil illum quam ut molestiae.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-13T18:27:53, amount=-4210.48, currency='EUR', detail='Labore et veritatis rerum similique perspiciatis ratione dolorum.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-16T21:14:30, amount=-4557.11, currency='EUR', detail='A voluptas libero sequi voluptatem eveniet est.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-13T17:21:55, amount=1352.57, currency='EUR', detail='Dolore aut aliquam repellat veniam quidem.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-09T15:48:06, amount=-2994.72, currency='EUR', detail='Non ea quia et non.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-05T11:14:32, amount=-4570.88, currency='EUR', detail='Et recusandae deserunt qui et neque.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T20:09:09, amount=-3365.59, currency='EUR', detail='Dolorem ullam consequuntur possimus quas.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-22T19:56:45, amount=-4992.83, currency='EUR', detail='Repellat laborum odit.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-15T18:46:09, amount=-441.2, currency='EUR', detail='Libero reprehenderit dicta consequatur omnis quos.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T08:52:56, amount=4127.32, currency='EUR', detail='Officiis nemo quia officia rerum iste ut.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-08T05:24:14, amount=-1199.49, currency='EUR', detail='Assumenda soluta magnam iure corporis.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-17T08:20:13, amount=1703.1, currency='EUR', detail='Possimus voluptas aut iste modi qui.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-15T01:19:55, amount=-1880.75, currency='EUR', detail='Voluptatem illo ea corrupti ipsum et.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-17T21:25:08, amount=-2549.2, currency='EUR', detail='Porro quis soluta.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-09T16:44:32, amount=1480.2, currency='EUR', detail='Nostrum nemo sunt quo in eos.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-15T10:42:04, amount=-2572.0, currency='EUR', detail='Non non deserunt sapiente.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-26T09:02:45, amount=561.86, currency='EUR', detail='Consequatur saepe doloremque aut quia quae.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T07:23:11, amount=4436.77, currency='EUR', detail='Minima accusamus animi.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-19T01:12:54, amount=4971.04, currency='EUR', detail='Dolores voluptatem cupiditate eum.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-25T22:01:52, amount=-606.87, currency='EUR', detail='Voluptate eius accusantium qui rerum molestiae quod qui.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-16T22:41:44, amount=-1092.26, currency='EUR', detail='Nemo et sed tenetur temporibus voluptatem.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T10:03:53, amount=-563.53, currency='EUR', detail='Quos occaecati reprehenderit.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-19T04:07:07, amount=3830.62, currency='EUR', detail='Omnis nam quae veniam et ullam.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-04T00:55:43, amount=-4241.0, currency='EUR', detail='Officiis ut sed unde voluptate pariatur exercitationem aliquam.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T03:10:18, amount=-3490.89, currency='EUR', detail='In fugiat qui ut minima id.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-08T07:59:01, amount=-793.74, currency='EUR', detail='Minima illo quia cum inventore.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-10T20:46:50, amount=3412.84, currency='EUR', detail='Voluptatem architecto blanditiis laboriosam expedita ut.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T13:44:31, amount=-1710.36, currency='EUR', detail='Sit veniam ut labore a nulla dolor facere.'}]}
2020-02-24 15:42:48,790 ERROR b.p.s.u.BudgetPlannerImporter:41 [main] Incorrect format
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-09T08:07:29, amount=4837.85, currency='EUR', detail='Quod modi deleniti iste dolores consequuntur.'}]}
2020-02-24 15:42:48,790 INFO b.p.s.u.BudgetPlannerImporter:35 [main] Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-27T00:12:31, amount=1340.88, currency='EUR', detail='Qui est consequuntur occaecati consectetur doloribus.'}]}
